"","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"163",1257,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus leucosternon","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"164",1258,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus lineatus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"165",4746,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus maculiceps","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"166",1255,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus mata","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"167",1800,"Acanthurus","Acanthurinae",1,1,"demersal","Acanthurus monroviae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"168",6011,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus nigricans","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"169",4747,"Acanthurus","Acanthurinae",1,1,"benthopelagic","Acanthurus nigricauda","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"170",4739,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus nigrofuscus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"171",4738,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus nigroris","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"172",4733,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus nubilus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"173",4744,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus olivaceus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"174",4732,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus polyzona","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"175",4742,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus pyroferus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"176",3905,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus randalli","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"177",58792,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus reversus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"178",4740,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus sohal","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"179",1259,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus tennentii","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"180",4734,"Acanthurus","Acanthurinae",1,1,"benthopelagic","Acanthurus thompsoni","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"181",942,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus tractus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"182",1260,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus triostegus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
